timestamp,zone_id,demand_mw,demand_forecast_mw,price_per_mwh,temp_c,humidity,wind_speed,precipitation
2024-01-07 11:00:00+00,NYISO,15298,14506,34.87733333333333,2.6,95,14.1,0.4
2024-01-07 12:00:00+00,NYISO,15674,14942,36.98266666666667,2.5,94,15.6,0.5
2024-01-07 13:00:00+00,NYISO,16141,15504,39.44733333333333,2.1,93,15.4,1.1
2024-01-07 14:00:00+00,NYISO,16727,16176,44.35933333333333,1.9,95,13.1,0.4
2024-01-07 15:00:00+00,NYISO,17390,16839,48.06133333333334,1.7,96,13.7,0.2
2024-01-07 16:00:00+00,NYISO,17859,17409,48.278,3.3,87,17,0
2024-01-07 17:00:00+00,NYISO,18253,17793,47.79866666666667,4.8,80,21.3,0
2024-01-07 18:00:00+00,NYISO,18418,17939,48.432,5.6,74,24.7,0
2024-01-07 19:00:00+00,NYISO,18424,17897,48.608666666666664,5.9,70,23.1,0
2024-01-07 20:00:00+00,NYISO,18466,17763,48.47266666666667,6.4,61,25.7,0
2024-01-07 21:00:00+00,NYISO,18657,17938,49.92133333333334,5.9,61,20.4,0
2024-01-07 22:00:00+00,NYISO,19265,18374,56.942,4.5,64,18.4,0
2024-01-07 23:00:00+00,NYISO,19975,19154,53.42733333333333,3.6,67,16.9,0
2024-01-08 00:00:00+00,NYISO,19818,19051,47.35733333333334,3,69,16.4,0
2024-01-08 01:00:00+00,NYISO,19420,18681,46.43,2.9,69,15,0
2024-01-08 02:00:00+00,NYISO,18921,18229,44.20066666666666,2.4,72,14.2,0
2024-01-08 03:00:00+00,NYISO,18147,17542,40.17733333333333,1.8,76,13.2,0
2024-01-08 04:00:00+00,NYISO,17261,16679,38.608666666666664,1.5,80,13.4,0
2024-01-08 05:00:00+00,NYISO,16383,15847,34.282666666666664,1.4,84,16.1,0
2024-01-08 06:00:00+00,NYISO,15755,15261,33.287333333333336,1.7,85,18.4,0
2024-01-08 07:00:00+00,NYISO,15290,14871,32.72933333333334,1.9,82,18.8,0
2024-01-08 08:00:00+00,NYISO,15034,14657,31.982000000000003,1.7,80,20.3,0
2024-01-08 09:00:00+00,NYISO,14965,14636,33.52066666666666,1.5,80,19.3,0
2024-01-08 10:00:00+00,NYISO,15233,14904,34.78866666666667,0.9,84,14.5,0
2024-01-08 11:00:00+00,NYISO,16092,15768,45.88466666666667,0.1,88,12,0
2024-01-08 12:00:00+00,NYISO,17572,17266,50.156666666666666,-0.5,90,9,0
2024-01-08 13:00:00+00,NYISO,18720,18436,49.699333333333335,0.7,89,8.7,0
2024-01-08 14:00:00+00,NYISO,19049,18755,47.44133333333333,2.7,81,7.7,0
2024-01-08 15:00:00+00,NYISO,18994,18751,44.398,4.8,64,12.6,0
2024-01-08 16:00:00+00,NYISO,18749,18605,44.246,5.9,56,12.8,0
2024-01-08 17:00:00+00,NYISO,18461,18486,42.059333333333335,6.7,52,11.9,0
2024-01-08 18:00:00+00,NYISO,18310,18340,41.91266666666666,7.2,49,9.2,0
